time,forecast,load
1,0,4634.453306
2,0,4542.253707
3,0,4593.260681
4,0,4610.341995
5,0,4805.411255
6,0,4807.905982
7,0,5462.274981
8,3167.92542,5432.864842
9,8576.916828,5915.894113
10,12164.47724,5886.964489
11,14220.12412,6030.842468
12,15025.79669,6072.640672
13,14766.31297,6128.064434
14,13143.76153,6104.808834
15,10217.65166,6078.584575
16,6057.325008,6091.084542
17,568.4962548,5898.207219
18,0,5626.426734
19,0,5303.856493
20,0,5265.38898
21,0,5067.193083
22,0,5035.156569
23,0,4795.248038
24,0,4804.213259
25,0,4825.527052
26,0,4811.618453
27,0,4819.41859
28,0,4826.198457
29,0,5700.847286
30,0,5721.608158
31,0,7527.863276
32,3036.133368,8420.554448
33,8510.516304,8677.228338
34,12027.447,8945.428
35,14277.48661,9060.975353
36,15232.46912,9083.019792
37,14947.78198,8855.321603
38,13450.32457,8836.640767
39,10870.21446,8687.319149
40,6668.476032,8705.479975
41,711.793008,8822.672926
42,0,8928.524411
43,0,6731.893808
44,0,6645.881659
45,0,5276.875258
46,0,4945.464862
47,0,4556.037241
48,0,4680.609056
49,0,4460.684674
50,0,4486.803616
51,0,4532.360368
52,0,4597.809116
53,0,5499.037654
54,0,5472.14199
55,0,7329.390918
56,2779.097004,8225.024421
57,8288.837736,8491.769374
58,11580.20416,8722.706101
59,13478.16857,8768.387919
60,14297.32304,8775.51007
61,14093.91374,8525.964913
62,12809.76239,8842.913789
63,10363.59113,8845.869284
64,6434.346024,8489.333888
65,719.467818,8387.175126
66,0,8498.924437
67,0,6329.498869
68,0,6317.512329
69,0,5380.15961
70,0,5195.944718
71,0,4474.283901
72,0,4455.83345
73,0,4363.844487
74,0,4294.795169
75,0,4277.937657
76,0,4261.027485
77,0,5195.806488
78,0,5256.160463
79,0,7122.400942
80,2459.953716,8050.038046
81,7234.157832,8351.301076
82,11110.46285,8612.740619
83,12996.61986,8702.373085
84,13817.01948,8780.255976
85,13509.89827,8455.493798
86,12228.6451,8698.713274
87,9827.83572,8429.782965
88,6074.864364,8351.123351
89,711.760806,8443.895619
90,0,8703.755388
91,0,6556.881104
92,0,6505.992612
93,0,5334.267156
94,0,5022.979139
95,0,4154.392695
96,0,4185.9092
97,0,4091.102972
98,0,4068.248899
99,0,4061.113583
100,0,4055.005121
101,0,4945.478027
102,0,4957.754192
103,0,6848.066487
104,2447.287596,7745.003304
105,7794.70878,8008.417566
106,11229.54584,8228.190552
107,13282.55215,8280.974774
108,14246.57269,8298.99737
109,14031.35599,8026.578392
110,12680.39622,8246.805564
111,10151.27261,8252.038568
112,6225.054492,8265.440323
113,739.4287644,8353.177059
114,0,8461.477195
115,0,6292.077957
116,0,6243.750016
117,0,5137.677363
118,0,4870.596707
119,0,4122.468082
120,0,4121.987567
121,0,4043.360865
122,0,4028.083128
123,0,4014.70112
124,0,3983.230692
125,0,4897.314646
126,0,4906.938107
127,0,6766.83974
128,2452.203768,7685.136427
129,7440.014484,7990.737255
130,10890.02942,8232.22556
131,12863.0245,8308.17981
132,13759.39937,8335.358517
133,13596.77927,8086.188557
134,12293.24231,8323.681349
135,9899.10948,8337.241082
136,6161.316,8335.64156
137,805.2453588,8396.429973
138,0,8475.352882
139,0,6285.212519
140,0,6237.319017
141,0,5133.003863
142,0,4863.079613
143,0,4118.163196
144,0,4124.79825
145,0,4038.450399
146,0,4031.848257
147,0,4027.214252
148,0,4022.599993
149,0,4232.124191
150,0,4226.476497
151,0,4862.994042
152,2697.905028,5694.666417
153,7648.490232,5760.793152
154,11115.07847,6554.761573
155,13218.49164,6626.450431
156,14234.46474,6682.947122
157,14137.72993,6512.278799
158,12835.50252,6465.912412
159,9839.042016,6467.057749
160,5459.720292,5878.183575
161,773.0755608,5953.275531
162,0,5738.478835
163,0,5300.900998
164,0,5250.084913
165,0,4357.400323
166,0,4350.495391
167,0,4121.730854
168,0,4119.868036
169,0,3923.587616
170,0,3920.855922
171,0,3921.217954
172,0,3920.566297
173,0,4135.830343
174,0,4133.84246
175,0,4762.099099
176,1087.433632,4673.960837
177,7344.7395,5242.29794
178,11107.09237,5208.918618
179,13411.96126,5272.655944
180,14244.74791,5291.758052
181,13778.99965,5307.50314
182,11864.13992,5277.23729
183,10284.54595,5269.575383
184,3505.853208,5271.609343
185,696.035496,5154.166261
186,0,4894.457887
187,0,4535.539664
188,0,4509.091603
189,0,4289.805714
190,0,4263.344488
191,0,4036.66657
192,0,4030.887228
193,0,4047.191819
194,0,4039.023067
195,0,4034.98806
196,0,4031.96674
197,0,4919.642128
198,0,4925.980974
199,0,6801.206421
200,2054.987804,7698.887049
201,7951.618392,7982.430273
202,11595.74699,8224.320104
203,13742.2679,8305.34938
204,14706.20257,8391.828879
205,14464.36555,8165.552487
206,13103.70224,8413.340144
207,10409.8332,8448.371647
208,6485.633076,8450.622826
209,990.5571348,8500.25408
210,0,8578.064565
211,0,6390.287282
212,0,6344.447487
213,0,5241.975403
214,0,4955.805804
215,0,4190.641941
216,0,4153.997751
217,0,4060.619904
218,0,4054.406123
219,0,4012.838302
220,0,4039.365352
221,0,4930.233201
222,0,4941.877457
223,0,6813.311445
224,812.0829168,7722.66924
225,2914.195128,8029.994655
226,5048.243136,8309.74642
227,4852.540848,8503.57819
228,10259.29958,8608.113196
229,10843.72295,8360.305792
230,9034.442844,8524.108678
231,7724.766036,8517.374888
232,4325.544384,8509.199555
233,626.0777244,8571.732302
234,0,8657.836604
235,0,6456.22971
236,0,6368.604875
237,0,5253.435352
238,0,5009.662955
239,0,4286.850219
240,0,4299.692471
241,0,4189.516352
242,0,4148.738418
243,0,4126.700562
244,0,4103.787246
245,0,4944.543327
246,0,4944.793458
247,0,6827.404351
248,1306.518865,7741.646283
249,5486.405016,8037.064147
250,11610.02321,8292.553205
251,13869.31553,8434.048357
252,14848.8145,8548.219989
253,14623.65811,8326.287977
254,13254.45054,8551.254473
255,10735.48129,8538.95856
256,6851.83422,8529.341682
257,1322.986968,8560.173617
258,0,8591.881011
259,0,6373.890537
260,0,6343.743171
261,0,5225.848536
262,0,4936.045455
263,0,4150.03515
264,0,4141.194994
265,0,4059.652292
266,0,4054.89322
267,0,4049.094131
268,0,4047.468279
269,0,4938.085998
270,0,4944.365602
271,0,6829.036785
272,776.5383492,7742.910103
273,5223.099996,8024.004676
274,8591.38626,8273.56958
275,9681.037536,8387.701717
276,11910.23172,8487.385499
277,9614.164716,8240.756343
278,8569.145412,8432.837196
279,7385.571636,8400.62954
280,3557.097324,8398.510009
281,1048.353284,8456.198114
282,0,8654.867944
283,0,6863.298148
284,0,7017.332761
285,0,5893.17827
286,0,5541.461186
287,0,4737.217648
288,0,4808.406244
289,0,4769.096185
290,0,4687.829943
291,0,4744.372711
292,0,4758.28131
293,0,5584.911572
294,0,5585.082714
295,0,7563.520107
296,1193.255844,8501.412582
297,4915.678236,8742.828481
298,8788.14048,8924.305097
299,12397.27624,8999.120592
300,10661.63137,9068.762326
301,7770.321132,8910.692705
302,5051.334528,9190.543206
303,2280.4383,8988.055587
304,2091.395386,8649.562534
305,525.4958508,8469.889495
306,0,8520.659503
307,0,6288.694606
308,0,6232.90223
309,0,5134.010969
310,0,4875.27679
311,0,4220.4931
312,0,4442.017004
313,0,4349.073594
314,0,4414.32487
315,0,4572.552468
316,0,4595.847562
317,0,4824.881978
318,0,4870.820509
319,0,5530.106556
320,602.048592,6416.004697
321,3906.85398,6474.528766
322,7149.938868,7290.205924
323,12541.69147,7403.837799
324,13643.5151,7438.355876
325,13012.54912,7103.7596
326,12504.65917,6916.319336
327,9758.129124,7031.932512
328,4948.80336,6369.144631
