,MOER [lbsCO2/kWh]
1/1/2022 0:00,0.905
1/1/2022 1:00,0.918
1/1/2022 2:00,0.93083
1/1/2022 3:00,0.91817
1/1/2022 4:00,0.91117
1/1/2022 5:00,0.90133
1/1/2022 6:00,1.005
1/1/2022 7:00,1.00208
1/1/2022 8:00,0.78042
1/1/2022 9:00,0.72492
1/1/2022 10:00,0.12817
1/1/2022 11:00,0.10367
1/1/2022 12:00,0.33208
1/1/2022 13:00,0.09492
1/1/2022 14:00,0.09475
1/1/2022 15:00,0.497
1/1/2022 16:00,0.92967
1/1/2022 17:00,0.92567
1/1/2022 18:00,0.93508
1/1/2022 19:00,0.90033
1/1/2022 20:00,0.90475
1/1/2022 21:00,0.90708
1/1/2022 22:00,0.90658
1/1/2022 23:00,0.90117
1/2/2022 0:00,0.894
1/2/2022 1:00,0.89825
1/2/2022 2:00,0.91775
1/2/2022 3:00,0.91017
1/2/2022 4:00,0.91225
1/2/2022 5:00,0.89883
1/2/2022 6:00,0.978
1/2/2022 7:00,0.9855
1/2/2022 8:00,0.99683
1/2/2022 9:00,1.02517
1/2/2022 10:00,1.01992
1/2/2022 11:00,1.01533
1/2/2022 12:00,1.00733
1/2/2022 13:00,1.008
1/2/2022 14:00,0.71725
1/2/2022 15:00,0.7575
1/2/2022 16:00,0.93242
1/2/2022 17:00,0.931
1/2/2022 18:00,0.93383
1/2/2022 19:00,0.91733
1/2/2022 20:00,0.91008
1/2/2022 21:00,0.91058
1/2/2022 22:00,0.90358
1/2/2022 23:00,0.88883
1/3/2022 0:00,0.87933
1/3/2022 1:00,0.88675
1/3/2022 2:00,0.88525
1/3/2022 3:00,0.89242
1/3/2022 4:00,0.89367
1/3/2022 5:00,0.89392
1/3/2022 6:00,0.90258
1/3/2022 7:00,0.901
1/3/2022 8:00,0.92483
1/3/2022 9:00,0.91283
1/3/2022 10:00,0.911
1/3/2022 11:00,0.95325
1/3/2022 12:00,0.96992
1/3/2022 13:00,0.97408
1/3/2022 14:00,0.97342
1/3/2022 15:00,0.944
1/3/2022 16:00,0.93633
1/3/2022 17:00,0.94258
1/3/2022 18:00,0.94083
1/3/2022 19:00,0.92033
1/3/2022 20:00,0.91625
1/3/2022 21:00,0.91342
1/3/2022 22:00,0.90708
1/3/2022 23:00,0.88775
1/4/2022 0:00,0.87733
1/4/2022 1:00,0.88117
1/4/2022 2:00,0.87758
1/4/2022 3:00,0.88442
1/4/2022 4:00,0.89025
1/4/2022 5:00,0.89158
1/4/2022 6:00,0.90483
1/4/2022 7:00,0.91175
1/4/2022 8:00,0.85975
1/4/2022 9:00,0.82308
1/4/2022 10:00,0.96017
1/4/2022 11:00,0.76867
1/4/2022 12:00,0.96858
1/4/2022 13:00,0.61983
1/4/2022 14:00,0.59042
1/4/2022 15:00,0.60583
1/4/2022 16:00,0.94267
1/4/2022 17:00,0.93825
1/4/2022 18:00,0.93675
1/4/2022 19:00,0.92283
1/4/2022 20:00,0.91042
1/4/2022 21:00,0.90942
1/4/2022 22:00,0.89558
1/4/2022 23:00,0.88917
1/5/2022 0:00,0.87733
1/5/2022 1:00,0.94992
1/5/2022 2:00,0.95917
1/5/2022 3:00,0.87758
1/5/2022 4:00,0.88692
1/5/2022 5:00,0.8935
1/5/2022 6:00,0.89958
1/5/2022 7:00,0.89867
1/5/2022 8:00,0.92058
1/5/2022 9:00,0.79692
1/5/2022 10:00,0.24725
1/5/2022 11:00,0.10792
1/5/2022 12:00,0.11667
1/5/2022 13:00,0.11783
1/5/2022 14:00,0.44817
1/5/2022 15:00,0.94575
1/5/2022 16:00,0.93758
1/5/2022 17:00,0.93233
1/5/2022 18:00,0.932
1/5/2022 19:00,0.91858
1/5/2022 20:00,0.91275
1/5/2022 21:00,0.9165
1/5/2022 22:00,0.89975
1/5/2022 23:00,0.89058
1/6/2022 0:00,0.87775
1/6/2022 1:00,0.89017
1/6/2022 2:00,0.87875
1/6/2022 3:00,0.87792
1/6/2022 4:00,0.88233
1/6/2022 5:00,0.88958
1/6/2022 6:00,0.89775
1/6/2022 7:00,0.89258
1/6/2022 8:00,0.90633
1/6/2022 9:00,0.93408
1/6/2022 10:00,0.93333
1/6/2022 11:00,0.92717
1/6/2022 12:00,0.97367
1/6/2022 13:00,0.75917
1/6/2022 14:00,0.69258
1/6/2022 15:00,0.80992
1/6/2022 16:00,0.93125
1/6/2022 17:00,0.93275
1/6/2022 18:00,0.92792
1/6/2022 19:00,0.91383
1/6/2022 20:00,0.90267
1/6/2022 21:00,0.89858
1/6/2022 22:00,0.89258
1/6/2022 23:00,0.88992
1/7/2022 0:00,0.88942
1/7/2022 1:00,0.89025
1/7/2022 2:00,0.87775
1/7/2022 3:00,0.88158
1/7/2022 4:00,0.885
1/7/2022 5:00,0.87533
1/7/2022 6:00,0.90842
1/7/2022 7:00,0.91767
1/7/2022 8:00,0.936
1/7/2022 9:00,0.95625
1/7/2022 10:00,0.95433
1/7/2022 11:00,0.91825
1/7/2022 12:00,0.91658
1/7/2022 13:00,0.91367
1/7/2022 14:00,0.62792
1/7/2022 15:00,0.94525
1/7/2022 16:00,0.95417
1/7/2022 17:00,0.96808
1/7/2022 18:00,0.97108
1/7/2022 19:00,0.95108
1/7/2022 20:00,0.95108
1/7/2022 21:00,0.9485
1/7/2022 22:00,0.88975
1/7/2022 23:00,0.944
1/8/2022 0:00,0.88925
1/8/2022 1:00,0.90042
1/8/2022 2:00,0.89383
1/8/2022 3:00,0.89667
1/8/2022 4:00,0.885
1/8/2022 5:00,0.9005
1/8/2022 6:00,0.95117
1/8/2022 7:00,1.01542
1/8/2022 8:00,0.87367
1/8/2022 9:00,0.68542
1/8/2022 10:00,0.36767
1/8/2022 11:00,0.98767
1/8/2022 12:00,0.97383
1/8/2022 13:00,0.90283
1/8/2022 14:00,0.48958
1/8/2022 15:00,0.94192
1/8/2022 16:00,0.96658
1/8/2022 17:00,0.97133
1/8/2022 18:00,0.97075
1/8/2022 19:00,0.94858
1/8/2022 20:00,0.9075
1/8/2022 21:00,0.91517
1/8/2022 22:00,0.89867
1/8/2022 23:00,0.92775
1/9/2022 0:00,0.917
1/9/2022 1:00,0.894
1/9/2022 2:00,0.88733
1/9/2022 3:00,0.88717
1/9/2022 4:00,0.88592
1/9/2022 5:00,0.88667
1/9/2022 6:00,0.92867
1/9/2022 7:00,0.98675
1/9/2022 8:00,0.79725
1/9/2022 9:00,0.44025
1/9/2022 10:00,0.1255
1/9/2022 11:00,0.12033
1/9/2022 12:00,0.403
1/9/2022 13:00,0.09167
1/9/2022 14:00,0.09583
1/9/2022 15:00,0.60883
1/9/2022 16:00,0.93783
1/9/2022 17:00,0.929
1/9/2022 18:00,0.93242
1/9/2022 19:00,0.908
1/9/2022 20:00,0.91017
1/9/2022 21:00,0.90392
1/9/2022 22:00,0.903
1/9/2022 23:00,0.89375
1/10/2022 0:00,0.88317
1/10/2022 1:00,0.88542
1/10/2022 2:00,0.87883
1/10/2022 3:00,0.88158
1/10/2022 4:00,0.882
1/10/2022 5:00,0.891
1/10/2022 6:00,0.89458
1/10/2022 7:00,0.91017
1/10/2022 8:00,0.924
1/10/2022 9:00,0.93983
1/10/2022 10:00,0.94325
1/10/2022 11:00,0.97383
1/10/2022 12:00,0.98267
1/10/2022 13:00,0.98067
1/10/2022 14:00,0.97708
1/10/2022 15:00,0.96158
1/10/2022 16:00,0.93042
1/10/2022 17:00,0.93075
1/10/2022 18:00,0.93317
1/10/2022 19:00,0.91475
1/10/2022 20:00,0.91208
1/10/2022 21:00,0.91108
1/10/2022 22:00,0.90617
1/10/2022 23:00,0.89317
1/11/2022 0:00,0.88042
1/11/2022 1:00,0.888
1/11/2022 2:00,0.88392
1/11/2022 3:00,0.8885
1/11/2022 4:00,0.88442
1/11/2022 5:00,0.88358
1/11/2022 6:00,0.90833
1/11/2022 7:00,0.90858
1/11/2022 8:00,0.94433
1/11/2022 9:00,0.82017
1/11/2022 10:00,0.98417
1/11/2022 11:00,0.76433
1/11/2022 12:00,0.97958
1/11/2022 13:00,0.90175
1/11/2022 14:00,0.76975
1/11/2022 15:00,0.83717
1/11/2022 16:00,0.93758
1/11/2022 17:00,0.92517
1/11/2022 18:00,0.92517
1/11/2022 19:00,0.90717
1/11/2022 20:00,0.90383
1/11/2022 21:00,0.89808
1/11/2022 22:00,0.89508
1/11/2022 23:00,0.90058
1/12/2022 0:00,0.88875
1/12/2022 1:00,0.88567
1/12/2022 2:00,0.88475
1/12/2022 3:00,0.88425
1/12/2022 4:00,0.8795
1/12/2022 5:00,0.88108
1/12/2022 6:00,0.906
1/12/2022 7:00,0.91875
