pv_prod_factor,wind_prod_factor
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01489,0
0.132857,0
0.476353,0
0.442406,0
0.382245,0
0.163531,0
0.200551,0
0.24823,0
0.049439,0
0.000983,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.020206,0
0.500149,0
0.545709,0
0.51465,0
0.485645,0
0.165837,0
0.202136,0
0.003918,0
0,0
0.038701,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.166846,0
0.535663,0
0.578385,0
0.547918,0
0.518301,0
0.52671,0
0.563765,0
0.5823,0
0.430493,0
0.046594,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.014203,0
0.560825,0
0.488132,0
0.473006,0
0.519497,0
0.520728,0
0.553056,0
0.56645,0
0.429612,0
0.049563,0
0,0
0,0
0,0
0,0.001624844
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.118701,0
0.330343,0
0.553132,0
0.52684,0
0.509354,0
0.512147,0
0.542328,0
0.553271,0
0.40389,0
0.048277,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.143626,0
0.280496,0
0.387015,0
0.440167,0
0.42539,0
0.371934,0
0.42751,0
0.422172,0
0.407401,0
0.001755,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.118056,0
0.427377,0
0.508813,0
0.45475,0
0.40464,0
0.387769,0
0.44105,0
0.374251,0
0.409606,0
0.054957,0
0,0
0,0.104221601
0,0.108280204
0,0.027066892
0,0.457631363
0,1
0,0.939091981
0,0.892944779
0,0.010323012
0,0
0,0.188810283
0,0.14302237
0,0.012393891
0,0.105268844
0.164377,0.013897089
0.517145,0.054110601
0.556279,0.069005481
0.525971,0.002198302
0.494609,0.058307939
0.49738,0.173387829
0.528575,0.287000861
0.541336,0.2185704
0.417271,0.100946974
0.057158,0.158811026
0,0.170168478
0,0.075682924
0,0.034663757
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.030941356
0.056316,0.020486837
0.237754,0.001320217
0.553535,0
0.522147,0
0.438646,0
0.492665,0.003894214
0.522165,0
0.350595,0.010066002
0.320428,0.01249585
0.044316,0.010413123
0,0.004859184
0,0.00104085
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.056799,0
0.282145,0
0.54821,0
0.520909,0
0.491306,0
0.391837,0
